,Area,Postcode,District,Lat,Long
96,Alithinou,2750,Lefkosia,35.1855659,33.38227639999999
97,Aloda,5623,Ammochostos,35.2128887,33.8327552
98,Alona,2751,Lefkosia,34.9349283,33.0380986
99,Amargeti,8642,Pafos,34.8136388,32.588174
100,Ammadies,2954,Lefkosia,35.1855659,33.38227639999999
101,Ampelikou,2920,Lefkosia,35.1855659,33.38227639999999
102,Anageia,2640,Lefkosia,35.0771107,33.2503679
103,Anadiou,8802,Pafos,34.7720133,32.4297369
104,Analiontas,2641,Lefkosia,0.0,0.0
105,Anarita,8502,Pafos,34.7481411,32.5429309
106,Anafotida,7573,Larnaka,34.8117931,33.466379
107,Androlikou,8701,Pafos,34.9979465,32.380176
108,Anogyra,4603,Lemesos,34.7366636,32.7294309
109,Axylou,8521,Pafos,0.0,0.0
110,Apesia,4541,Lemesos,34.7889923,32.9761593
111,Aplanta,7574,Larnaka,34.8295231,33.48038890000001
112,Apliki,2613,Lefkosia,34.9304944,33.1168744
113,Arakapas,4563,Lemesos,34.8449552,33.113359
114,Argaka,8873,Pafos,35.0627702,32.4891791
115,Argaki,2721,Lefkosia,35.1855659,33.38227639999999
116,Ardana,5763,Ammochostos,35.3555716,33.8969328
117,Arediou,2614,Lefkosia,35.0503064,33.1941823
118,Armenomonastiro,9570,Keryneia,35.3322825,33.3195479
119,Armenochori,4523,Lemesos,34.7517145,33.126717
120,Arminou,8625,Pafos,34.8617339,32.7195492
121,Armou,8522,Pafos,34.7720133,32.4297369
122,Arnadi,5724,Ammochostos,35.2366033,33.8578735
123,Arsos Larnakas,7620,Larnaka,34.9243154,33.636336
124,Arsos Lemesou,4770,Lemesos,34.8414811,32.7703589
125,Artemi,5622,Ammochostos,35.31784409999999,33.7238308
126,Asgata,4502,Lemesos,34.7761716,33.2475594
127,Asinou,2778,Lefkosia,35.1650512,33.3857936
128,Askas,2752,Lefkosia,35.1855659,33.38227639999999
129,Asprogia,8643,Pafos,34.9227386,32.6171475
130,Asseia (Askeia),5561,Ammochostos,35.1149116,33.919245
131,Astromeritis,2722,Lefkosia,35.1394443,33.0395058
132,Asomatos Keryneias,9613,Keryneia,35.2628117,33.0845277
133,Asomatos Lemesou,4645,Lemesos,34.6288485,32.9719348
134,Avgolida,5725,Ammochostos,35.3522187,33.9610657
135,Avgorou,5510,Ammochostos,35.0385384,33.8522923
136,Avdimou,4600,Lemesos,34.6837313,32.7576589
137,Avlona,2673,Lefkosia,35.1693415,33.1098434
138,Afanteia - Ornithi,5560,Ammochostos,35.1489203,33.5784007
139,Acheleia,8503,Pafos,34.7288519,32.4750292
140,Acheritou,5521,Ammochostos,35.0970715,33.8522923
141,Achna,5500,Ammochostos,35.0565168,33.7797054
142,Apsiou,4542,Lemesos,34.7974399,33.0212099
143,Vavatsinia,7712,Larnaka,34.8910913,33.2293021
144,Vavla,7713,Larnaka,34.8413406,33.2693233
145,Vavylas,9630,Keryneia,41.0693256,-73.4941886
146,Variseia,2921,Lefkosia,0.0,0.0
147,Vasa Kellakiou,4504,Lemesos,34.8028938,33.21455330000001
148,Vasa Koilaniou,4771,Lemesos,34.8330525,32.7901114
149,Vasileia,9631,Keryneia,35.3439517,33.1070309
150,Vasili,5823,Ammochostos,35.4516433,34.1587576
151,Vasiliko,7738,Larnaka,34.9002535,33.6231723
152,Vatili,5562,Ammochostos,35.1149116,33.919245
153,Vikla,4509,Lemesos,34.7071301,33.0226174
154,Vitsada,5653,Ammochostos,35.1149116,33.919245
155,Vothylakas,5822,Ammochostos,35.4700019,34.1921277
156,Vokolida,5726,Ammochostos,35.3734501,34.0697103
157,Voroklini,7040,Larnaka,34.9876126,33.6567371
158,Voroklini Touristiki Periochi,7041,Larnaka,34.9876126,33.6567371
159,Vouni,4772,Lemesos,34.8239352,32.8345404
160,Vouno,9542,Keryneia,35.2569465,33.3962986
161,Vretsia,8644,Pafos,34.8902986,32.6574142
162,Vrysoules,5522,Ammochostos,35.0719751,33.8815901
163,Vyzakia,2774,Lefkosia,35.0793143,33.0155797
164,Voni,2520,Lefkosia,35.1855659,33.38227639999999
165,Gaidouras (Nea Sparti),5624,Ammochostos,35.1470463,33.8020459
166,Galata,2827,Lefkosia,35.1855659,33.38227639999999
167,Galataria,8645,Pafos,34.8765789,32.63127790000001
168,Galateia,5825,Ammochostos,35.415337,34.0752783
169,Galini,2922,Lefkosia,35.1398949,32.7802357
170,Galinoporni,5874,Ammochostos,0.0,0.0
171,Gastria,5727,Ammochostos,35.1149116,33.919245
172,Genagra,5655,Ammochostos,35.2114584,33.69029
173,Gerakies,2861,Lefkosia,35.0003013,32.8049233
174,Gerani,5764,Ammochostos,35.3515836,33.9248222
175,Gerasa,4543,Lemesos,34.8026925,32.9958715
176,Gerovasa,4773,Lemesos,34.7071301,33.0226174
177,Gerolakkos,2674,Lefkosia,35.1800998,33.251766
178,Giolou,8720,Pafos,34.9231899,32.4736141
179,Goudi,8850,Pafos,34.9912915,32.4417696
180,Gourri,2615,Lefkosia,34.9552587,33.1562388
181,Goufes,5625,Ammochostos,35.1149116,33.919245
182,Gypsou,5626,Ammochostos,0.0,0.0
183,Dali,2540,Lefkosia,35.0612128,33.4047109
184,Dali (Ilioupoli),2546,Lefkosia,37.9298588,23.7692328
185,Dali (Kallithea),2548,Lefkosia,37.955893,23.7020975
186,Dali (Konstantia),2547,Lefkosia,35.0612128,33.4047109
187,Dali (Nea Lidra),2549,Lefkosia,35.1744595,33.361415
188,Dasaki Achnas,5523,Ammochostos,35.0334773,33.7908763
189,Dasiko Kolegio Kyprou,4841,Lemesos,34.679147,33.0253197
190,Dasikos Stathmos Agias,8803,Pafos,34.7573412,32.4474212
191,Dasikos Stathmos Kapouras,2828,Lefkosia,35.0164922,33.0831653
192,Dasikos Stathmos Panagias,2782,Lefkosia,35.0164922,33.0831653
193,Dasikos Stathmos Platanion,2829,Lefkosia,34.94832160000001,32.9274698
194,Dasikos Stathmos Stavrou tis Psokas,8804,Pafos,34.9164594,32.4920088
195,Davlos,5765,Ammochostos,35.4134201,33.9136675
196,Dekeleia,7502,Larnaka,34.9002535,33.6231723
197,Delikipos,7642,Larnaka,34.9166725,33.3612392
198,Deneia,2675,Lefkosia,0.0,0.0
199,Deryneia,5380,Ammochostos,35.0586943,33.9582783
200,Dierona,4564,Lemesos,34.7071301,33.0226174
201,Diorios,9614,Keryneia,0.0,0.0
202,Drapeia,7722,Larnaka,34.9002535,33.6231723
203,Dromolaxia,7020,Larnaka,34.8813447,33.5895956
204,Drouseia,8700,Pafos,34.9632721,32.397171
205,Drymou,8742,Pafos,34.9251189,32.513583
206,Dymes,4873,Lemesos,34.9171341,32.9838865
207,Dyo Potamoi,2676,Lefkosia,35.1855659,33.38227639999999
208,Dora,4774,Lemesos,34.7071301,33.0226174
209,Doros,4750,Lemesos,34.8156562,32.910659
210,Egkomi Ammochostou,5627,Ammochostos,35.1613671,33.8801952
211,Eledio,8523,Pafos,34.8187911,32.5627272
212,Elia Keryneias,9632,Keryneia,35.3442807,33.2208745
213,Elia Lefkosias,2830,Lefkosia,35.1380434,32.9155906
214,Elliniki Dynamis Kyprou (EL.DY.K.),1380,Lefkosia,0.0,0.0
215,Empa,8250,Pafos,34.8066794,32.4212424
216,Eχο Metochi,2521,Lefkosia,35.2019719,33.5336078
217,Episkopeio,2642,Lefkosia,35.0428834,33.2461551
218,Episkopi Lemesou,4620,Lemesos,34.6758953,32.8817689
219,Episkopi Pafou,8524,Pafos,34.6758953,32.8817689
220,Epicho,2522,Lefkosia,35.1855659,33.38227639999999
221,Eptagoneia,4506,Lemesos,34.846331,33.1590499
222,Eptakomi,5824,Ammochostos,35.4489622,34.0307246
223,Ergates,2643,Lefkosia,35.057659,33.2419422
224,Erimi,4630,Lemesos,34.6919356,32.9184086
225,Evretou,8805,Pafos,34.9605214,32.4838731
226,Evrychou,2831,Lefkosia,35.0416645,32.9014996
227,Zanakia,4713,Lemesos,34.7326675,32.8775404
228,Zacharia,8806,Pafos,34.9818878,32.5309099
229,Zygi,7739,Larnaka,34.7322033,33.3345856
230,Zoopigi,4565,Lemesos,34.8631273,33.0155797
231,Theletra,8723,Pafos,34.9134868,32.4523855
232,Thermeia,9510,Keryneia,49.833658,-97.13964999999999
233,Thrinia,8743,Pafos,34.7720133,32.4297369
234,Ineia,8704,Pafos,34.7720133,32.4297369
235,Kazafani,9511,Keryneia,35.3261677,33.3542258
236,Kazivera,2923,Lefkosia,35.1855659,33.38227639999999
237,Kathikas,8573,Pafos,34.9137456,32.4184108
238,Kakopetria,2800,Lefkosia,34.987599,32.9014996
239,Kalavasos,7733,Larnaka,34.7623627,33.2924859
240,Kaliana,2832,Lefkosia,35.1855659,33.38227639999999
241,Kallepeia,8541,Pafos,34.8373332,32.5089856
242,Kalo Chorio (Kapouti),2726,Lefkosia,35.2377309,33.0226174
243,Kalo Chorio Larnakas,7643,Larnaka,34.9215196,33.5392081
244,Kalo Chorio Lemesou,4566,Lemesos,34.8515153,33.0254323
245,Kalo Chorio Oreinis,2616,Lefkosia,35.0116284,33.1604555
246,Kalo Chorio Soleas,2833,Lefkosia,35.1160017,25.7240366
247,Kalograia,9571,Keryneia,35.3428587,33.6287673
248,Kalopanagiotis,2862,Lefkosia,34.994293,32.8267844
249,Kalopsida,5563,Ammochostos,35.1111537,33.8076302
250,Kalyvakia,2523,Lefkosia,35.1855659,33.38227639999999
251,Kaminaria,4843,Lemesos,34.9279581,32.7837628
252,Kampi,2619,Lefkosia,35.1855659,33.38227639999999
253,Kampia,2644,Lefkosia,35.0075592,33.2573889
254,Kampos,2863,Lefkosia,35.0396909,32.7336656
255,Kampyli,9615,Keryneia,35.3032467,33.1042183
256,Kanli,2677,Lefkosia,35.2171783,33.2644093
257,Kannavia,2834,Lefkosia,35.1855659,33.38227639999999
258,Kannaviou,8746,Pafos,34.91616399999999,32.57333080000001
259,Kantara,5766,Ammochostos,35.3871012,33.8990248
260,Kantou,4631,Lemesos,34.6986696,32.904318
261,Kapedes,2645,Lefkosia,34.9774161,33.2517722
262,Kapileio,4544,Lemesos,34.7071301,33.0226174
263,Karavas,9200,Keryneia,35.3420796,33.2082318
264,Karavostasi,2924,Lefkosia,35.142762,32.8112705
265,Karakoumi,9512,Keryneia,0.0,0.0
266,Karamoullides,8851,Pafos,0.0,0.0
267,Karmi,9513,Keryneia,35.3149411,33.2644093
268,Karpaseia,9616,Keryneia,35.2858449,33.0732741
269,Kataliontas,2646,Lefkosia,35.1855659,33.38227639999999
270,Katydata,2835,Lefkosia,35.081168,32.886702
271,Kato Akourdaleia,8721,Pafos,34.9529875,32.4502624
272,Kato Amiantos,4810,Lemesos,34.9166475,32.9367234
273,Kato Arodes,8702,Pafos,34.9410111,32.4035433
274,Kato Archimandrita,8602,Pafos,34.7361939,32.6801724
275,Kato Gialia,8874,Pafos,35.0985583,32.523838
276,Kato Deryneia,5370,Ammochostos,35.0765299,33.959672
277,Kato Deftera,2450,Lefkosia,35.08804,33.2784486
278,Kato Dikomo,9530,Keryneia,35.2649276,33.3233608
279,Kato Drys,7714,Larnaka,34.8514057,33.304416
280,Kato Zοdia,2723,Lefkosia,0.0,0.0
281,Kato Kivides,4714,Lemesos,34.7680811,32.8704925
282,Kato Koutrafas,2770,Lefkosia,35.1011691,32.9761593
283,Kato Lefkara,7710,Larnaka,34.8626726,33.315643
284,Kato Moni,2776,Lefkosia,35.0617647,33.092967
285,Kato Mylos,4874,Lemesos,34.894012,33.0050222
286,Kato Panagia,8548,Pafos,34.7720133,32.4297369
287,Kato Platres,4815,Lemesos,34.8796843,32.8415909
288,Kato Pyrgos,2940,Lefkosia,35.1804745,32.6786008
289,Kato Flasou,2843,Lefkosia,35.0614896,32.888816
290,Katokopia,2725,Lefkosia,35.1750763,33.0592054
291,Kedares,8626,Pafos,34.8369077,32.7364886
292,Kellaki,4500,Lemesos,34.8168362,33.1590499
293,Kellia,7503,Larnaka,34.9002535,33.6231723
294,Kelokedara,8628,Pafos,34.8164279,32.6447001
295,Keryneia,9000,Keryneia,0.0,0.0
296,Kiados,5654,Ammochostos,35.1149116,33.919245
297,Kivisili,7575,Larnaka,34.8273185,33.5112035
298,Kidasi,8627,Pafos,0.0,0.0
299,Kiomourtzou,9543,Keryneia,0.0,0.0
300,Kioneli,2678,Lefkosia,35.1855659,33.38227639999999
301,Kios,8807,Pafos,34.7720133,32.4297369
302,Kissonerga,8574,Pafos,34.8281946,32.4070834
303,Kissousa,4775,Lemesos,34.7071301,33.0226174
304,Kiti,7550,Larnaka,34.855441,33.5784007
305,Klavdia,7576,Larnaka,34.8959382,33.5112035
306,Klepini,9572,Keryneia,35.2982601,33.4439588
307,Klirou,2600,Lefkosia,35.0211643,33.1773203
308,Klonari,4507,Lemesos,34.8261543,33.1797796
309,Knodara,5656,Ammochostos,35.1149116,33.919245
310,Koilanemos,5826,Ammochostos,35.1149116,33.919245
311,Koilani,4776,Lemesos,34.843753,32.8606246
312,Koili,8543,Pafos,34.864108,32.4523855
313,Koilineia,8646,Pafos,0.0,0.0
314,Kokkina,2955,Lefkosia,0.0,0.0
315,Kokkinotrimithia,2660,Lefkosia,35.1529042,33.2110414
316,Kolossi,4632,Lemesos,34.6622452,32.926862
317,Kolossi (Synoikismos),4636,Lemesos,34.6622452,32.926862
318,Koloni,8310,Pafos,34.7519779,32.4679536
319,Konia,8300,Pafos,34.7816716,32.463708
320,Kontea,5564,Ammochostos,35.1033617,33.7238308
321,Kontemenos,9617,Keryneia,35.2619306,33.1351527
322,Korakou,2836,Lefkosia,35.0402355,32.8859972
323,Kormakitis,9618,Keryneia,35.3425478,33.000095
324,Kornokipos,5657,Ammochostos,35.1149116,33.919245
325,Kornos,7640,Larnaka,34.91931470000001,33.3962986
326,Koroveia,5875,Ammochostos,35.1149116,33.919245
327,Korfi,4545,Lemesos,34.7071301,33.0226174
328,Kosi,7621,Larnaka,34.9676595,33.5168051
329,Kotsiatis,2564,Lefkosia,35.0128737,33.3493161
330,Kouka,4743,Lemesos,34.7071301,33.0226174
331,Kouklia Ammochostou,5565,Ammochostos,34.6983211,32.593828
332,Kouklia Pafou,8500,Pafos,34.6983211,32.593828
333,Kouklia Pafou (Lofoi Afroditis),8509,Pafos,34.6983211,32.593828
334,Kouklia Pafou (Cha Potami),8510,Pafos,34.6915213,32.604509
335,Kourdaka,8544,Pafos,34.7720133,32.4297369
336,Kourdali,2846,Lefkosia,34.97507179999999,32.9497531
337,Kourou Monastiri,2524,Lefkosia,35.217816,33.5532073
338,Koutsoventis,9544,Keryneia,0.0,0.0
339,Kofinou,7735,Larnaka,34.8455999,33.4047109
340,Krini,9545,Keryneia,35.2730184,33.2419422
341,Krideia,5767,Ammochostos,35.1149116,33.919245
342,Kritou Marottou,8747,Pafos,0.0,0.0
343,Kritou Tera,8724,Pafos,34.95567339999999,32.4226582
344,Kythrea,2500,Lefkosia,35.2553647,33.4719832
345,Kynousa,8876,Pafos,34.7720133,32.4297369
346,Kyperounta,4876,Lemesos,34.9407863,32.9705266
347,Kyra,2727,Lefkosia,35.2109599,33.0620193
348,Koma Tou Gialou,5827,Ammochostos,35.4235636,34.1253751
349,Komi,5828,Ammochostos,35.4243568,33.986149
350,Lageia,7715,Larnaka,34.9002535,33.6231723
351,Lagoudera,2753,Lefkosia,34.9744196,33.0254323
352,Lazanias,2618,Lefkosia,34.9488227,33.1752124
353,Laneia,4744,Lemesos,34.8245486,32.9219309
354,Lapathos,5728,Ammochostos,35.1149116,33.919245
355,Lapithiou,8647,Pafos,34.7720133,32.4297369
356,Lapithos,9300,Keryneia,35.3364082,33.1632665
357,Larnakas Lapithou,9619,Keryneia,34.9002535,33.6231723
358,Lasa,8740,Pafos,34.7720133,32.4297369
359,Latsi,8840,Pafos,35.0405881,32.39433870000001
360,Lemithou,4844,Lemesos,34.950216,32.8098601
361,Lempa,8260,Pafos,34.8125505,32.40566740000001
362,Lemona,8545,Pafos,34.8500343,32.5655549
363,Leonarisso,5829,Ammochostos,35.4623398,34.1253751
364,Letymvou,8546,Pafos,34.8570517,32.5132294
365,Lefka,2900,Lefkosia,35.1855659,33.38227639999999
366,Lefkonoiko,5600,Ammochostos,35.2687373,33.7405967
367,Linou,2845,Lefkosia,35.0704576,32.8916348
368,Livadi,8878,Pafos,34.7720133,32.4297369
369,Livadia Ammochostou,5729,Ammochostos,35.3938178,34.036295
370,Livadia Larnakas,7060,Larnaka,34.9554824,33.63436190000001
371,Livadia Lefkosias,2754,Lefkosia,34.9524893,33.0127645
372,Livera,9633,Keryneia,35.299194,33.2363246
373,Limnatis,4546,Lemesos,34.8127275,32.9486967
374,Limni,8877,Pafos,35.0531837,32.4594622
375,Limnia,5628,Ammochostos,35.1976484,33.8578735
376,Limnitis,2956,Lefkosia,35.1667086,32.732254
377,Liopetri,5320,Ammochostos,35.0018174,33.8913539
378,Louvaras,4560,Lemesos,34.8365842,33.0380986
379,Loukrounou,8725,Pafos,0.0,0.0
380,Louroukina,2567,Lefkosia,0.0,0.0
381,Loutra Tis Afroditis,8853,Pafos,35.0583333,32.35
382,Loutros,2957,Lefkosia,35.1565604,32.7576589
383,Lofou,4716,Lemesos,34.816485,32.8754261
384,Lythragkomi,5830,Ammochostos,0.0,0.0
385,Lythrodontas,2565,Lefkosia,34.94878509999999,33.3009073
386,Lympia,2566,Lefkosia,34.9882276,33.466379
387,Lysi,5540,Ammochostos,35.1072538,33.6958809
388,Lysos,8800,Pafos,34.7720133,32.4297369
389,Mazotos,7577,Larnaka,34.7950343,33.4887939
390,Mathiatis,2568,Lefkosia,35.1855659,33.38227639999999
391,Mathikoloni,4547,Lemesos,34.78869299999999,33.0620193
392,Makounta,8879,Pafos,34.7720133,32.4297369
393,Makrasyka,5566,Ammochostos,35.0795529,33.7685332
394,Malia,4777,Lemesos,34.7071301,33.0226174
395,Malounta,2612,Lefkosia,35.0341499,33.1829413
396,Malounta Pafou,8622,Pafos,35.0341499,33.1829413
397,Mammari,2679,Lefkosia,35.1742194,33.205422
398,Mamountali,8648,Pafos,34.7720133,32.4297369
399,Mamonia,8600,Pafos,34.7720133,32.4297369
400,Mandres Ammochostou,5768,Ammochostos,35.3480408,33.8132141
401,Mandres Lefkosias,2534,Lefkosia,35.2215191,33.3766669
402,Mandria Lemesou,4778,Lemesos,34.8719936,32.8324252
403,Mandria Pafou,8504,Pafos,34.7119726,32.531617
404,Mansoura,2958,Lefkosia,35.187098,32.6383424
405,Maratha,5629,Ammochostos,35.2092566,33.7824983
406,Marathovounos,5650,Ammochostos,35.2094973,33.63436190000001
407,Marathounta,8520,Pafos,34.781428,32.497668
408,Margi,2647,Lefkosia,35.0235257,33.3247639
409,Margo,2569,Lefkosia,35.1855659,33.38227639999999
410,Mari,7736,Larnaka,34.7360593,33.2981002
411,Maronas,8604,Pafos,34.7720133,32.4297369
412,Maroni,7737,Larnaka,34.7546305,33.365447
413,Masari,2680,Lefkosia,35.1855659,33.38227639999999
414,Meladeia,8808,Pafos,34.7720133,32.4297369
415,Melamiou,8745,Pafos,0.0,0.0
416,Melanarga,5831,Ammochostos,35.1149116,33.919245
417,Melandra,8809,Pafos,34.7720133,32.4297369
418,Melini,7716,Larnaka,34.861681,33.1541633
419,Melounta,5630,Ammochostos,35.1149116,33.919245
420,Melouseia,7622,Larnaka,34.9002535,33.6231723
421,Meneou,7000,Larnaka,34.8582652,33.6007892
422,Meniko,2728,Lefkosia,35.1148773,33.1435877
423,Menogeia,7578,Larnaka,34.9002535,33.6231723
424,Mesa Potamos,4745,Lemesos,33.4151843,-111.8314724
425,Mesa Chorio,8290,Pafos,34.8112652,32.472199
426,Mesana,8631,Pafos,34.7720133,32.4297369
427,Mesogi,8280,Pafos,34.80738880000001,32.4466194
428,Milia Ammochostou,5631,Ammochostos,35.2347575,33.8020459
429,Milia Pafou,8744,Pafos,34.9201674,32.5393954
430,Miliou,8726,Pafos,34.9397372,32.4615851
431,Mia Milia,2525,Lefkosia,35.1855659,33.38227639999999
432,Mitsero,2622,Lefkosia,35.0398803,33.1323409
433,Monagri,4746,Lemesos,34.809499,32.910659
434,Monagroulli,4524,Lemesos,34.7503751,33.2194699
435,Monarga,5730,Ammochostos,35.1149116,33.919245
436,Moni,4525,Lemesos,34.7144671,33.2082318
437,Moni Agias Varvaras,7650,Larnaka,34.9363319,33.639674
438,Moni Agias Theklis,7644,Larnaka,34.9351434,33.6237028
439,Moni Agiou Georgiou Alamanou,4526,Lemesos,34.7144671,33.2082318
440,Moni Agiou Irakleidiou,2648,Lefkosia,35.1855659,33.38227639999999
441,Moni Agiou Kendeou,5524,Ammochostos,35.1149116,33.919245
442,Moni Agiou Mina,7717,Larnaka,34.9082115,33.5982621
443,Moni Agiou Neofytou,8576,Pafos,0.0,0.0
444,Moni Agiou Nikolaou Gaton,4650,Lemesos,0.0,0.0
445,Moni Agiou Panteleimonos,9621,Keryneia,35.299194,33.2363246
446,Moni Agiou Panteleimonos Achera,2624,Lefkosia,40.2379614,24.2006309
447,Moni Agiou Chrysostomou,9546,Keryneia,35.299194,33.2363246
448,Moni Agion Anargyron,8727,Pafos,34.7629451,32.4156238
449,Moni Apostolou Andreou,5873,Ammochostos,35.1149116,33.919245
450,Moni Apostolou Varnava,5632,Ammochostos,35.115174,33.9495027
451,Moni Archangelou Antifonitou,9573,Keryneia,0.0,0.0
452,Moni Archangelou Michail,2649,Lefkosia,35.1833215,33.3826735
